thread_index,comment_index,author,reactor,reaction
2,2,1.0,675.0,Sneaky Nazi
44,49,7.0,1.0,Like
76,98,16.0,1.0,Like
79,104,17.0,1.0,Like
83,110,20.0,1.0,Like
85,113,22.0,40.0,Sneaky Nazi
86,114,23.0,1.0,Like
87,116,25.0,1.0,Like
91,126,26.0,244.0,Like
91,126,26.0,1.0,Like
139,176,28.0,1.0,Like
139,181,28.0,1.0,Like
140,177,1.0,951.0,Like
140,177,1.0,527.0,Like
143,182,1.0,49.0,Like
143,828,131.0,424.0,Like
143,828,131.0,859.0,Like
143,828,131.0,299.0,Like
143,828,131.0,49.0,Like
143,828,131.0,101.0,Like
143,828,131.0,1.0,Like
143,1116,152.0,1030.0,Like
143,1116,152.0,1.0,Like
143,1123,152.0,1.0,Like
157,199,29.0,1012.0,Hitler Approves
157,199,29.0,921.0,Like
157,199,29.0,819.0,Like
157,199,29.0,706.0,Gas
157,199,29.0,704.0,Gas
157,199,29.0,335.0,Like
157,199,29.0,686.0,Like
157,199,29.0,424.0,Like
157,199,29.0,152.0,Like
157,199,29.0,530.0,Like
157,199,29.0,43.0,Like
157,199,29.0,25.0,Like
157,199,29.0,1.0,Like
157,201,1.0,221.0,Like
157,201,1.0,704.0,Like
157,201,1.0,152.0,Like
157,201,1.0,43.0,Like
157,201,1.0,25.0,Like
157,201,1.0,29.0,Like
157,208,1.0,25.0,Like
157,250,1.0,152.0,Like
157,250,1.0,287.0,Like
157,250,1.0,25.0,Like
157,250,1.0,43.0,Like
158,200,1.0,244.0,Like
158,200,1.0,237.0,Like
158,200,1.0,63.0,Like
158,200,1.0,43.0,Like
158,210,1.0,43.0,Like
158,439,63.0,82.0,Hitler Approves
158,439,63.0,60.0,Like
158,439,63.0,55.0,Like
158,439,63.0,1.0,Like
158,441,60.0,1.0,Like
158,441,60.0,63.0,Like
158,1668,101.0,178.0,Like
158,1668,101.0,1.0,Like
158,1669,229.0,1.0,Like
159,206,1.0,406.0,Hitler Approves
159,206,1.0,152.0,Like
159,206,1.0,101.0,Like
159,206,1.0,126.0,Like
178,230,1.0,1012.0,Like
178,230,1.0,858.0,Like
178,230,1.0,829.0,Like
178,230,1.0,424.0,Like
178,230,1.0,168.0,Like
178,230,1.0,274.0,Hitler Approves
178,230,1.0,178.0,Hitler Approves
178,230,1.0,101.0,Like
178,230,1.0,43.0,Like
178,230,1.0,29.0,Hitler Approves
178,231,29.0,858.0,Like
178,1347,234.0,229.0,Gas
180,233,37.0,1.0,Like
182,239,1.0,424.0,Like
182,239,1.0,178.0,Like
182,239,1.0,763.0,Like
182,239,1.0,101.0,Like
182,239,1.0,55.0,Like
182,239,1.0,25.0,Like
183,240,38.0,1.0,Like
184,246,43.0,1.0,Like
184,247,1.0,43.0,Like
184,1711,43.0,237.0,Like
186,252,40.0,43.0,Like
186,252,40.0,1.0,Like
186,253,40.0,25.0,Like
186,253,40.0,1.0,Like
186,254,1.0,43.0,Like
189,257,40.0,124.0,Like
189,257,40.0,98.0,Like
189,257,40.0,65.0,Like
189,257,40.0,55.0,Hitler Approves
189,257,40.0,44.0,Like
189,257,40.0,43.0,Like
192,260,44.0,43.0,Like
192,260,44.0,1.0,Like
195,268,40.0,43.0,Like
197,271,1.0,625.0,Mason +1
197,271,1.0,199.0,Like
197,271,1.0,44.0,Mason +1
197,271,1.0,43.0,Mason +1
197,279,42.0,55.0,Like
197,286,44.0,55.0,Like
197,293,49.0,55.0,Hitler Approves
197,293,49.0,42.0,Hitler Approves
197,297,1.0,981.0,Hitler Approves
197,297,1.0,197.0,Like
197,297,1.0,178.0,Mason +1
197,297,1.0,43.0,Like
197,297,1.0,49.0,Like
197,297,1.0,42.0,Rockwell Salute
197,302,42.0,43.0,Like
197,302,42.0,1.0,Like
197,302,42.0,49.0,Like
197,312,55.0,49.0,Like
197,312,55.0,1.0,Like
197,313,1.0,49.0,Like
197,315,55.0,625.0,Like
197,315,55.0,49.0,Like
197,315,55.0,1.0,Like
197,318,55.0,49.0,Like
197,333,55.0,63.0,Like
197,341,42.0,48.0,Like
197,342,55.0,43.0,Like
197,342,55.0,63.0,Like
197,342,55.0,42.0,Like
197,342,55.0,56.0,Like
197,387,55.0,63.0,Like
197,390,55.0,625.0,Like
197,390,55.0,42.0,Like
197,403,60.0,625.0,Like
197,403,60.0,193.0,Like
197,403,60.0,40.0,Like
197,403,60.0,43.0,Like
197,405,55.0,239.0,Like
197,405,55.0,63.0,Like
197,405,55.0,49.0,Like
197,406,60.0,49.0,Like
197,408,55.0,60.0,Like
197,409,63.0,477.0,Like
197,409,63.0,55.0,Like
197,409,63.0,60.0,Like
197,423,55.0,40.0,Hitler Approves
197,1516,229.0,101.0,Like
197,1516,229.0,1.0,Like
197,1519,250.0,1.0,Like
197,1519,250.0,229.0,Like
197,1520,229.0,1.0,Like
197,1520,229.0,250.0,Like
197,1521,250.0,229.0,Like
197,1522,229.0,1.0,Like
197,1522,229.0,250.0,Like
197,1524,229.0,1.0,Like
197,1525,233.0,1.0,Like
197,1525,233.0,229.0,Like
197,1526,229.0,1.0,Like
197,1526,229.0,233.0,Like
197,1528,233.0,178.0,Like
197,1528,233.0,229.0,Like
197,1538,101.0,239.0,Gas
197,1538,101.0,229.0,Hitler Approves
197,1538,101.0,233.0,Mason +1
198,272,1.0,221.0,Like
198,272,1.0,101.0,Like
198,272,1.0,43.0,Like
198,275,1.0,43.0,Like
198,277,40.0,43.0,Like
198,277,40.0,1.0,Like
198,1198,202.0,1.0,Like
198,1313,224.0,267.0,Like
198,1313,224.0,101.0,Like
198,1323,224.0,101.0,Like
204,290,52.0,42.0,Like
204,292,42.0,52.0,Like
206,298,49.0,137.0,Like
219,346,40.0,131.0,Like
219,346,40.0,55.0,Rockwell Salute
219,346,40.0,56.0,Like
219,346,40.0,63.0,Mason +1
221,348,63.0,42.0,Like
223,351,66.0,42.0,Hitler Approves
223,352,66.0,42.0,Hitler Approves
223,355,42.0,63.0,Like
223,355,42.0,48.0,Like
223,356,40.0,42.0,Like
223,358,40.0,42.0,Like
223,398,66.0,43.0,Like
223,398,66.0,1.0,Like
228,364,55.0,1.0,Like
228,372,1.0,55.0,Like
240,397,70.0,55.0,Gas
242,413,40.0,42.0,Rockwell Salute
242,427,1.0,55.0,Like
244,445,1.0,43.0,Like
244,467,1.0,454.0,Like
244,467,1.0,43.0,Like
245,447,73.0,43.0,Like
245,555,42.0,55.0,Rockwell Salute
245,556,55.0,42.0,Rockwell Salute
245,557,40.0,42.0,Like
248,450,60.0,131.0,Like
248,450,60.0,55.0,Like
248,450,60.0,49.0,Like
248,450,60.0,63.0,Like
248,452,60.0,43.0,Like
248,465,1.0,60.0,Like
248,466,55.0,60.0,Like
248,469,60.0,431.0,Mason +1
248,474,55.0,43.0,Like
248,476,55.0,43.0,Like
248,622,29.0,1.0,Like
248,637,40.0,29.0,Like
248,638,1.0,29.0,Like
248,904,147.0,43.0,Like
249,478,79.0,1.0,Like
252,485,43.0,40.0,Like
252,492,40.0,55.0,Mason +1
253,487,42.0,49.0,Like
253,488,49.0,168.0,Like
253,488,49.0,42.0,Hitler Approves
253,488,49.0,43.0,Like
253,490,29.0,221.0,Like
253,490,29.0,252.0,Like
253,490,29.0,42.0,Like
253,491,40.0,42.0,Like
253,491,40.0,63.0,Like
253,491,40.0,43.0,Like
253,1832,196.0,164.0,Like
253,1832,196.0,25.0,Like
253,1832,196.0,156.0,Like
253,3639,401.0,530.0,Like
253,3916,424.0,178.0,Like
254,493,1.0,137.0,Like
254,493,1.0,29.0,Like
254,493,1.0,101.0,Like
254,493,1.0,49.0,Like
254,494,55.0,63.0,Like
254,495,60.0,10.0,Gas
254,495,60.0,50.0,Gas
254,495,60.0,55.0,Like
254,495,60.0,63.0,Like
254,496,60.0,50.0,Anti-Fascist
254,496,60.0,55.0,Like
254,498,60.0,50.0,Gas
254,500,60.0,128.0,Gas
254,500,60.0,50.0,Gas
254,502,60.0,50.0,Gas
254,504,1.0,43.0,Like
254,523,73.0,55.0,Like
254,523,73.0,60.0,Like
254,532,60.0,333.0,Like
254,532,60.0,50.0,Gas
254,535,60.0,50.0,Gas
254,543,55.0,60.0,Like
254,545,60.0,50.0,Gas
254,545,60.0,55.0,Hitler Approves
254,546,55.0,60.0,Like
254,546,55.0,73.0,Like
260,552,55.0,147.0,Like
260,561,60.0,50.0,Rockwell Salute
261,553,42.0,144.0,Like
261,553,42.0,55.0,Like
261,553,42.0,49.0,Like
261,554,55.0,43.0,Hitler Approves
261,858,101.0,43.0,Like
261,873,101.0,43.0,Like
261,877,131.0,1021.0,Like
264,571,92.0,79.0,Like
264,571,92.0,43.0,Like
264,572,43.0,92.0,Hitler Approves
264,583,29.0,43.0,Like
264,595,65.0,25.0,Like
264,595,65.0,1.0,Like
264,595,65.0,29.0,Like
264,595,65.0,92.0,Like
264,607,92.0,29.0,Gas
264,612,40.0,1.0,Like
267,579,94.0,43.0,Like
268,705,101.0,43.0,Like
268,706,42.0,43.0,Like
276,600,99.0,43.0,Like
276,600,99.0,40.0,Like
276,600,99.0,1.0,Like
279,608,101.0,42.0,Mason +1
279,608,101.0,29.0,Gas
279,608,101.0,40.0,Gas
279,608,101.0,65.0,Gas
279,611,65.0,42.0,Like
279,614,101.0,42.0,Mason +1
279,614,101.0,1.0,Like
279,624,101.0,42.0,Mason +1
279,626,101.0,42.0,Mason +1
279,628,101.0,42.0,Mason +1
279,630,101.0,99.0,Mason +1
279,643,335.0,42.0,Like
279,643,335.0,99.0,Mason +1
279,643,335.0,101.0,Mason +1
279,645,40.0,42.0,Like
280,610,101.0,1.0,Like
282,617,99.0,796.0,Like
282,617,99.0,152.0,Like
282,617,99.0,229.0,Like
282,617,99.0,198.0,Like
282,617,99.0,199.0,Like
282,617,99.0,147.0,Like
282,617,99.0,43.0,Like
282,617,99.0,49.0,Like
282,617,99.0,25.0,Like
282,617,99.0,1.0,Like
282,1200,202.0,229.0,Like
282,4576,1018.0,178.0,Like
282,4610,1012.0,1018.0,Like
282,4610,1012.0,906.0,Like
282,4610,1012.0,177.0,Like
285,633,101.0,42.0,Like
286,634,99.0,1.0,Like
291,650,335.0,101.0,Like
291,652,101.0,1.0,Like
291,652,101.0,42.0,Like
291,657,65.0,42.0,Sneaky Nazi
291,667,335.0,101.0,Like
291,667,335.0,42.0,Like
295,659,42.0,178.0,Like
295,659,42.0,25.0,Like
295,659,42.0,49.0,Like
295,659,42.0,1.0,Like
295,659,42.0,101.0,Like
295,673,101.0,126.0,Like
295,673,101.0,178.0,Hitler Approves
295,673,101.0,131.0,Like
295,673,101.0,25.0,Like
295,673,101.0,49.0,Like
295,673,101.0,1.0,Like
295,673,101.0,42.0,Hitler Approves
295,855,131.0,198.0,Like
295,855,131.0,178.0,Like
295,855,131.0,101.0,Like
295,855,131.0,49.0,Like
295,861,49.0,156.0,Like
295,861,49.0,178.0,Like
295,861,49.0,101.0,Like
295,861,49.0,1.0,Like
295,1058,94.0,198.0,Like
295,1058,94.0,178.0,Like
295,1058,94.0,131.0,Like
295,1239,178.0,1.0,Like
295,1241,126.0,178.0,Like
295,1241,126.0,199.0,Like
295,1241,126.0,101.0,Hitler Approves
295,1241,126.0,42.0,Hitler Approves
295,1246,199.0,299.0,Like
295,1246,199.0,178.0,Like
295,1246,199.0,1.0,Like
295,2109,156.0,335.0,Hitler Approves
296,664,40.0,101.0,Shlomo
296,666,1.0,101.0,Like
296,670,1.0,101.0,Like
297,665,40.0,1.0,Like
301,1449,229.0,178.0,Like
301,1449,229.0,1.0,Like
301,1449,229.0,101.0,Like
302,690,105.0,166.0,Like
304,682,110.0,1.0,Like
304,682,110.0,40.0,Like
305,683,42.0,1030.0,Like
305,683,42.0,221.0,Like
305,683,42.0,131.0,Like
305,683,42.0,65.0,Like
305,683,42.0,1.0,Hitler Approves
305,683,42.0,25.0,Like
305,683,42.0,109.0,Hitler Approves
305,683,42.0,110.0,Like
305,683,42.0,49.0,Like
306,685,101.0,328.0,Like
306,685,101.0,367.0,Like
306,685,101.0,229.0,Like
306,685,101.0,193.0,Rockwell Salute
306,685,101.0,126.0,Like
306,685,101.0,166.0,Like
306,685,101.0,110.0,Gas
306,685,101.0,1.0,Like
306,685,101.0,65.0,Gas
306,685,101.0,42.0,Like
306,686,40.0,42.0,Shlomo
306,688,101.0,367.0,Like
306,688,101.0,229.0,Hitler Approves
306,688,101.0,42.0,Mason +1
306,694,101.0,367.0,Like
306,694,101.0,1.0,Like
306,695,42.0,367.0,Like
306,696,40.0,25.0,Like
306,696,40.0,49.0,Like
306,696,40.0,1.0,Like
306,696,40.0,65.0,Like
306,696,40.0,110.0,Like
306,704,101.0,367.0,Like
306,704,101.0,229.0,Like
306,704,101.0,1.0,Like
306,708,101.0,367.0,Like
306,708,101.0,229.0,Like
306,713,101.0,244.0,Like
306,720,49.0,156.0,Like
306,720,49.0,124.0,Like
306,720,49.0,110.0,Like
306,720,49.0,43.0,Like
306,720,49.0,29.0,Like
306,720,49.0,1.0,Like
306,721,101.0,1.0,Like
306,723,49.0,42.0,Like
306,729,1.0,367.0,Like
306,729,1.0,101.0,Like
306,730,101.0,367.0,Like
306,734,40.0,29.0,Like
306,740,101.0,1.0,Like
306,746,101.0,1.0,Like
306,769,119.0,43.0,Like
306,769,119.0,25.0,Like
306,769,119.0,40.0,Like
306,777,101.0,1.0,Like
306,779,119.0,42.0,Like
306,804,101.0,174.0,Like
306,830,116.0,49.0,Hitler Approves
306,1074,174.0,176.0,Like
306,1074,174.0,101.0,Like
306,1381,236.0,101.0,Like
306,1390,239.0,1.0,Like
306,1392,1.0,101.0,Like
306,1392,1.0,236.0,Hitler Approves
306,1398,236.0,101.0,Like
306,1398,236.0,1.0,Like
306,1398,236.0,126.0,Like
306,1399,101.0,336.0,Like
306,1399,101.0,229.0,Like
306,1399,101.0,178.0,Like
306,1399,101.0,1.0,Like
306,1399,101.0,126.0,Like
306,1424,101.0,1.0,Like
306,1424,101.0,126.0,Like
306,1432,148.0,530.0,Like
306,1432,148.0,101.0,Like
306,1434,101.0,193.0,Like
306,1448,229.0,199.0,Like
306,1448,229.0,1.0,Like
306,1448,229.0,101.0,Like
306,1448,229.0,233.0,Like
306,1448,229.0,193.0,Like
306,1460,101.0,1.0,Like
306,1460,101.0,229.0,Like
306,2586,1.0,229.0,Like
306,2587,328.0,148.0,Like
306,2642,199.0,328.0,Like
306,2645,275.0,199.0,Like
306,2646,336.0,199.0,Like
306,2646,336.0,101.0,Like
306,2648,402.0,328.0,Like
306,2650,168.0,42.0,Like
306,2956,168.0,229.0,Like
306,2987,336.0,275.0,Like
306,2987,336.0,328.0,Like
306,3204,362.0,410.0,Like
306,3204,362.0,328.0,Like
307,703,111.0,42.0,Like
307,703,111.0,25.0,Like
307,703,111.0,101.0,Like
307,703,111.0,40.0,Like
307,703,111.0,1.0,Like
310,722,40.0,119.0,Like
310,722,40.0,43.0,Like
310,726,40.0,119.0,Like
311,739,40.0,101.0,Like
317,766,119.0,43.0,Like
322,783,40.0,101.0,Like
322,868,131.0,101.0,Like
323,784,127.0,123.0,Rockwell Salute
325,793,125.0,1.0,Like
326,794,40.0,335.0,Hitler Approves
326,810,25.0,147.0,Like
326,810,25.0,99.0,Like
326,811,42.0,50.0,Gas
328,802,131.0,140.0,Like
328,802,131.0,43.0,Like
328,802,131.0,1.0,Like
328,805,101.0,43.0,Like
329,808,133.0,101.0,Shlomo
329,808,133.0,65.0,Gas
329,808,133.0,40.0,Like
329,808,133.0,29.0,Gas
329,815,65.0,221.0,Like
329,815,65.0,101.0,Like
329,815,65.0,42.0,Like
329,817,40.0,903.0,Like
329,826,101.0,42.0,Like
329,833,133.0,65.0,Gas
329,2423,351.0,164.0,Hitler Approves
329,2423,351.0,244.0,Like
330,829,126.0,49.0,Like
331,834,140.0,530.0,Like
331,834,140.0,49.0,Like
333,837,143.0,1.0,Like
334,839,42.0,50.0,Gas
334,894,40.0,49.0,Rockwell Salute
334,899,49.0,156.0,Like
334,899,49.0,126.0,Like
334,899,49.0,147.0,Like
334,899,49.0,101.0,Like
334,903,147.0,25.0,Like
334,903,147.0,49.0,Like
334,903,147.0,131.0,Like
334,903,147.0,126.0,Like
334,914,25.0,159.0,Like
334,914,25.0,147.0,Like
347,859,1.0,221.0,Like
347,859,1.0,922.0,Hitler Approves
347,859,1.0,940.0,Like
347,859,1.0,858.0,Like
347,859,1.0,726.0,Like
347,859,1.0,695.0,Gas
347,859,1.0,737.0,Mason +1
347,859,1.0,406.0,Hitler Approves
347,859,1.0,82.0,Mason +1
347,859,1.0,426.0,Like
347,859,1.0,352.0,Hitler Approves
347,859,1.0,287.0,Mason +1
347,859,1.0,138.0,Mason +1
347,859,1.0,229.0,Mason +1
347,859,1.0,267.0,Hitler Approves
347,859,1.0,224.0,Hitler Approves
347,859,1.0,176.0,Like
347,859,1.0,42.0,Like
347,859,1.0,244.0,Like
347,859,1.0,147.0,Like
347,859,1.0,126.0,Like
347,859,1.0,65.0,Hitler Approves
347,859,1.0,49.0,Like
347,859,1.0,101.0,Like
347,859,1.0,133.0,Gas
348,863,43.0,229.0,Like
348,863,43.0,40.0,Like
348,867,131.0,43.0,Like
348,871,1.0,236.0,Hitler Approves
348,871,1.0,43.0,Like
348,871,1.0,101.0,Like
348,874,101.0,43.0,Like
348,876,29.0,43.0,Like
348,876,29.0,40.0,Like
348,1199,193.0,530.0,Like
348,1227,178.0,530.0,Like
348,1227,178.0,43.0,Like
348,1227,178.0,199.0,Like
348,1227,178.0,1.0,Like
348,1227,178.0,101.0,Like
348,1228,101.0,178.0,Like
348,1228,101.0,199.0,Like
348,1228,101.0,1.0,Like
348,1231,178.0,1.0,Like
348,1237,199.0,229.0,Mason +1
348,1237,199.0,156.0,Like
348,1237,199.0,25.0,Like
348,1237,199.0,178.0,Like
348,1237,199.0,43.0,Like
348,1237,199.0,1.0,Like
348,1237,199.0,101.0,Like
348,1237,199.0,126.0,Like
348,1325,229.0,233.0,Like
348,1328,229.0,233.0,Like
348,1328,229.0,199.0,Like
348,1341,233.0,229.0,Like
348,1344,119.0,530.0,Like
348,1344,119.0,199.0,Like
348,1349,229.0,1.0,Like
348,1349,229.0,233.0,Like
348,1354,221.0,229.0,Mason +1
348,1357,229.0,233.0,Like
348,1357,229.0,221.0,Hitler Approves
348,1361,233.0,530.0,Like
348,1361,233.0,229.0,Hitler Approves
348,1371,1.0,530.0,Like
348,1371,1.0,101.0,Like
348,1371,1.0,233.0,Like
348,1371,1.0,229.0,Like
348,1372,233.0,229.0,Like
348,1382,233.0,229.0,Like
348,1413,221.0,233.0,Like
348,1415,1.0,244.0,Like
348,1445,233.0,178.0,Like
348,1445,233.0,229.0,Like
348,1489,530.0,178.0,Like
348,1489,530.0,229.0,Like
348,1492,196.0,178.0,Like
348,1492,196.0,101.0,Like
348,1492,196.0,1.0,Like
348,1494,196.0,178.0,Like
348,1500,178.0,530.0,Like
348,1502,236.0,1.0,Like
348,1502,236.0,101.0,Like
348,1506,233.0,1.0,Like
348,1854,274.0,1.0,Like
351,887,141.0,40.0,Like
351,907,101.0,25.0,Like
351,917,131.0,915.0,Rockwell Salute
358,911,152.0,151.0,Like
358,911,152.0,40.0,Like
358,911,152.0,101.0,Like
358,911,152.0,1.0,Like
359,915,147.0,119.0,Like
359,915,147.0,1.0,Like
359,4567,1.0,1030.0,Like
360,934,152.0,147.0,Like
360,947,99.0,147.0,Like
360,965,147.0,99.0,Like
361,929,1.0,1030.0,Like
361,929,1.0,147.0,Like
361,929,1.0,152.0,Like
371,952,156.0,147.0,Like
371,952,156.0,101.0,Like
373,957,40.0,279.0,Like
373,957,40.0,213.0,Like
373,957,40.0,42.0,Like
373,957,40.0,244.0,Hitler Approves
373,957,40.0,147.0,Like
373,957,40.0,49.0,Like
373,957,40.0,156.0,Like
373,957,40.0,126.0,Like
373,962,40.0,42.0,Like
374,961,244.0,147.0,Like
374,961,244.0,49.0,Like
374,961,244.0,156.0,Like
374,969,159.0,101.0,Gas
374,969,159.0,126.0,Gas
374,979,244.0,101.0,Like
374,982,29.0,147.0,Like
374,982,29.0,101.0,Like
374,982,29.0,244.0,Like
374,1632,244.0,239.0,Like
378,988,25.0,166.0,Like
378,988,25.0,244.0,Like
378,988,25.0,49.0,Like
379,992,164.0,40.0,Like
380,1001,29.0,156.0,Like
380,1001,29.0,178.0,Like
380,1001,29.0,152.0,Like
380,1001,29.0,49.0,Like
380,1001,29.0,25.0,Like
380,1001,29.0,43.0,Like
380,1002,40.0,152.0,Like
380,1002,40.0,49.0,Like
380,1007,101.0,273.0,Like
380,1007,101.0,1.0,Like
380,1708,237.0,138.0,Like
380,1712,239.0,279.0,Like
380,1728,29.0,237.0,Like
380,1762,274.0,237.0,Like
380,1762,274.0,1.0,Like
380,1780,101.0,1.0,Like
380,1780,101.0,239.0,Gas
380,1782,237.0,239.0,Like
380,1783,101.0,239.0,Gas
380,1783,101.0,1.0,Like
380,1785,237.0,239.0,Like
380,1787,101.0,1.0,Like
380,1787,101.0,273.0,Like
380,1787,101.0,239.0,Gas
380,1789,273.0,1.0,Like
380,1789,273.0,229.0,Like
380,1789,273.0,101.0,Like
380,1790,239.0,101.0,Gas
380,1795,101.0,1.0,Like
380,1796,273.0,101.0,Like
380,1796,273.0,1.0,Like
380,1801,237.0,239.0,Like
380,1803,1.0,40.0,Like
380,1803,1.0,178.0,Like
380,1803,1.0,101.0,Like
380,1805,101.0,239.0,Gas
380,1808,178.0,40.0,Like
380,1812,239.0,237.0,Like
380,1813,101.0,178.0,Like
380,1813,101.0,1.0,Hitler Approves
380,1813,101.0,239.0,Gas
380,1815,239.0,237.0,Like
380,1816,237.0,239.0,Like
380,1819,236.0,178.0,Like
380,1819,236.0,1.0,Hitler Approves
380,1819,236.0,237.0,Like
380,1819,236.0,273.0,Like
380,1819,236.0,239.0,Like
380,1821,101.0,275.0,Like
380,1821,101.0,236.0,Like
380,1821,101.0,1.0,Like
380,1821,101.0,239.0,Gas
380,1821,101.0,273.0,Like
380,1825,1.0,275.0,Like
380,1825,1.0,43.0,Like
380,1825,1.0,101.0,Like
380,1825,1.0,229.0,Like
380,1837,236.0,43.0,Like
380,1837,236.0,1.0,Like
380,1837,236.0,237.0,Like
380,1837,236.0,101.0,Like
380,1845,1.0,25.0,Like
380,1845,1.0,239.0,Like
380,1845,1.0,101.0,Like
380,1868,1.0,237.0,Like
381,1003,166.0,49.0,Like
381,1003,166.0,152.0,Like
381,1003,166.0,126.0,Like
381,1011,166.0,29.0,Gas
381,1012,29.0,101.0,Like
381,1018,40.0,166.0,Hitler Approves
382,1020,167.0,126.0,Gas
382,1020,167.0,42.0,Gas
382,1020,167.0,99.0,Gas
382,1020,167.0,101.0,Gas
382,1020,167.0,29.0,Gas
382,1024,29.0,101.0,Like
382,1024,29.0,49.0,Like
382,1029,49.0,101.0,Like
382,1030,101.0,43.0,Like
382,1034,42.0,101.0,Like
382,1034,42.0,49.0,Like
382,1038,29.0,101.0,Mason +1
382,1041,167.0,29.0,Gas
382,1041,167.0,101.0,Anti-Fascist
385,1037,101.0,43.0,Like
385,1037,101.0,156.0,Like
385,1037,101.0,25.0,Like
385,1037,101.0,1.0,Like
385,1037,101.0,49.0,Like
385,1037,101.0,126.0,Like
385,1037,101.0,29.0,Like
385,1040,101.0,43.0,Like
385,1046,101.0,1.0,Like
385,1046,101.0,49.0,Like
385,1048,49.0,1.0,Like
385,1049,101.0,1.0,Like
385,1053,1.0,26.0,Like
385,1053,1.0,101.0,Like
385,1053,1.0,49.0,Like
386,1042,167.0,233.0,Anti-Fascist
386,1042,167.0,101.0,Anti-Fascist
386,1052,101.0,40.0,Like
387,1043,168.0,199.0,Like
387,1043,168.0,40.0,Like
392,1095,1.0,156.0,Like
392,1104,1.0,156.0,Like
393,1059,171.0,111.0,Hitler Approves
393,1059,171.0,175.0,Hitler Approves
394,1061,172.0,29.0,Gas
